"","Treatment","Tile.number","Assigned.location.code","crevice.kind","LOB.crown","LOB.targetcrevice","LOB.othercrevice","LOB.opencrevice","LOB.outside","LOB.overall","otherMA.crown","otherMA.targetcrevice","otherMA.othercrevice","otherMA.opencrevice","otherMA.outside","otherMA.overall","unknown.crown","unknown.targetcrevice","unknown.othercrevice","unknown.opencrevice","unknown.outside","unknown.overall","Number.crowns","Area.crown.cm2","Number.targetcrevice","Area.targetcrevice.cm2.nosides","Area.targetcrevice.cm2.inclsides","Area.othercrevice.cm2.nosides","Area.othercrevice.cm2.inclsides","Number.opencrevices","Area.opencrevice.cm2.nosides","Area.opencrevice.cm2.inclsides","Area.outside.nosides.cm2","Area.outside.inclsides.cm2","Area.overall.cm2.nosides","Area.overall.cm2.inclsides","Proportion.LOB.target.overall","comment","identity.other.crevice","Observer","LOB.target.percm2.nosides","LOB.crown.percm2","LOB.other.percm2.nosides","LOB.open.percm2.nosides","LOB.outside.percm2.nosides","LOB.overall.percm2.nosides","LOB.target.percm2.inclsides","LOB.other.percm2.inclsides","LOB.open.percm2.inclsides","LOB.outside.percm2.inclsides","LOB.overall.percm2.inclsides","propLOB","propLOBcrown"
"11","Caged","19","Caged_yellow+1","medium",1,1,0,3,4,9,26,10,2,8,6,52,0,2,0,3,0,5,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.0555555555555556,0.0289351851851852,0,0.111111111111111,0.0693329339756336,0.0608108108108108,0.0151515151515152,0,0.037037037037037,0.0520205835044811,0.0313370473537604,0.483501683501684,0.523636363636364
"12","Open","21","Open_green+1","small",0,1,4,1,15,21,1,2,4,8,14,29,1,0,0,0,0,1,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.104166666666667,0,0.37218442482619,0.0694444444444444,0.190615030833887,0.141891891891892,0.021551724137931,0.139143211759271,0.0193798449612403,0.153229088519832,0.0810185185185185,0.266009852216749,Inf
"13","Open","22","Open_yellow+3","large",2,0,2,3,1,8,8,6,4,8,12,38,0,0,0,0,0,0,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,NA,"type2, more crowns","medium","Alan",0,0.0496031746031746,0.222222222222222,0.166666666666667,0.0153415081070665,0.0540540540540541,0,0.0606060606060606,0.0555555555555556,0.0112129445820397,0.032258064516129,0,0
"14","Open","23","Open_yellow+3","medium",0,1,0,0,0,1,0,0,1,0,1,2,0,1,0,1,0,2,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.0555555555555556,0,0,0,0,0.00675675675675676,0.0151515151515152,0,0,0,0.00348189415041783,4.35151515151515,Inf
"15","Open","24","Open_yellow+3","small",1,1,1,6,2,11,3,9,5,12,4,33,0,1,0,0,0,1,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.104166666666667,0.0289351851851852,0.0930461062065475,0.416666666666667,0.0254153374445183,0.0743243243243243,0.021551724137931,0.0347858029398178,0.116279069767442,0.0204305451359775,0.0424382716049383,0.507836990595611,0.744827586206897
"16","Open","28","Open_green+3","small",11,7,7,15,15,55,61,10,26,24,35,156,2,2,0,1,1,6,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.729166666666667,0.318287037037037,0.651322743445832,1.04166666666667,0.190615030833887,0.371621621621622,0.150862068965517,0.243500620578724,0.290697674418605,0.153229088519832,0.212191358024691,0.710971786833856,0.473981191222571
"17","Open","29","Open_green+3","medium",3,2,2,3,3,13,15,4,3,4,1,27,0,0,0,0,0,0,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.111111111111111,0.0868055555555556,0.186092212413095,0.111111111111111,0.0519997004817252,0.0878378378378378,0.0303030303030303,0.0695716058796356,0.037037037037037,0.0390154376283608,0.0452646239554318,0.669463869463869,0.349090909090909
"18","Open","30","Open_green+3","large",6,4,0,11,13,34,13,8,11,7,5,44,0,0,0,0,0,0,27,38.88,1,15.49736,31.49736,9,33,8,18,54,66.62264,90.62264,148,248,NA,"1 crown missing, type 2, more crowns","medium","Laura",0.258108477831063,0.154320987654321,0,0.611111111111111,0.195128863101192,0.22972972972973,0.126994770355357,0,0.203703703703704,0.143452011550315,0.137096774193548,0.926314795533191,0.822926111902712
"19","Open","33","Open_yellow+2","large",3,3,3,5,1,15,5,12,15,8,7,47,0,0,0,4,1,5,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,NA,"type2, more crowns","medium","Laura",0.193581358373297,0.0744047619047619,0.333333333333333,0.277777777777778,0.0153415081070665,0.101351351351351,0.0952460777665176,0.0909090909090909,0.0925925925925926,0.0112129445820397,0.0604838709677419,1.57473515240642,1.280107285182
"20","Open","34","Open_yellow+2","medium",0,7,2,13,1,23,1,1,3,2,1,8,0,1,0,1,1,3,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.388888888888889,0,0.186092212413095,0.481481481481481,0.0173332334939084,0.155405405405405,0.106060606060606,0.0695716058796356,0.160493827160494,0.0130051458761203,0.08008356545961,1.32437417654809,Inf
"21","Open","35","Open_yellow+2","small",3,4,2,6,10,25,10,7,1,9,6,33,0,1,0,1,1,3,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.416666666666667,0.0868055555555556,0.186092212413095,0.416666666666667,0.127076687222592,0.168918918918919,0.0862068965517241,0.0695716058796356,0.116279069767442,0.102152725679888,0.0964506172839506,0.893793103448276,0.993103448275862
"22","Open","36","Open_green+2","large",1,1,0,2,3,7,6,5,4,6,7,28,1,0,0,0,0,1,27,38.88,1,15.49736,31.49736,9,33,8,18,54,66.62264,90.62264,148,248,NA,"type 2 - more crowns, but 1 missing","medium","Laura",0.0645271194577657,0.0257201646090535,0,0.111111111111111,0.0450297376387366,0.0472972972972973,0.0317486925888392,0,0.037037037037037,0.0331043103577649,0.0282258064516129,1.12481082314745,1.23438916785407
"23","Open","37","Open_green+2","medium",3,1,1,1,3,9,13,8,1,5,1,28,1,0,0,2,0,3,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.0555555555555556,0.0868055555555556,0.0930461062065475,0.037037037037037,0.0519997004817252,0.0608108108108108,0.0151515151515152,0.0347858029398178,0.0123456790123457,0.0390154376283608,0.0313370473537604,0.483501683501684,0.174545454545455
"24","Open","38","Open_green+1","medium",5,5,1,7,6,24,17,8,6,9,3,43,0,0,1,1,0,2,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.277777777777778,0.144675925925926,0.0930461062065475,0.259259259259259,0.10399940096345,0.162162162162162,0.0757575757575758,0.0347858029398178,0.0864197530864197,0.0780308752567216,0.0835654596100279,0.906565656565657,0.523636363636364
"25","Open","39","Open_green+1","large",3,1,3,1,5,13,46,5,4,21,56,132,7,2,0,0,2,11,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,NA,"type2, more crowns","medium","Fredi",0.0645271194577657,0.0744047619047619,0.333333333333333,0.0555555555555556,0.0767075405353327,0.0878378378378378,0.0317486925888392,0.0909090909090909,0.0185185185185185,0.0560647229101987,0.0524193548387097,0.605667366310163,0.426702428393999
"26","Open","40","Open_green+2","small",1,3,4,4,1,13,8,2,3,11,13,37,1,4,0,0,0,5,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.3125,0.0289351851851852,0.37218442482619,0.277777777777778,0.0127076687222592,0.0878378378378378,0.0646551724137931,0.139143211759271,0.0775193798449612,0.0102152725679888,0.0501543209876543,1.28912466843501,2.23448275862069
"27","Caged","43","Caged_yellow+2","small",1,1,0,1,0,3,29,6,3,7,12,57,0,0,0,0,0,0,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.104166666666667,0.0289351851851852,0,0.0694444444444444,0,0.0202702702702703,0.021551724137931,0,0.0193798449612403,0,0.0115740740740741,1.86206896551724,0.744827586206897
"28","Open","43.2","Open_yellow+1","large",1,6,3,0,6,16,14,7,2,7,5,35,3,2,0,4,2,11,25,36,1,15.49736,31.49736,9,33,8,18,54,69.50264,93.50264,148,248,NA,"type2, more crowns, but 3 crowns missing","medium","Laura",0.387162716746594,0.0277777777777778,0.333333333333333,0,0.0863276560429935,0.108108108108108,0.190492155533035,0.0909090909090909,0,0.0641693111552786,0.0645161290322581,2.95262841076204,6.85771759918927
"29","Caged","44","Caged_yellow+2","medium",3,2,4,3,6,18,21,6,3,7,6,43,0,1,0,0,1,2,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.111111111111111,0.0868055555555556,0.37218442482619,0.111111111111111,0.10399940096345,0.121621621621622,0.0303030303030303,0.139143211759271,0.037037037037037,0.0780308752567216,0.0626740947075209,0.483501683501684,0.349090909090909
"30","Caged","45","Caged_yellow+2","large",6,4,2,7,8,27,123,27,10,32,16,208,1,0,0,0,0,1,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,NA,"type1 - less  crowns","medium","Laura",0.258108477831063,0.166666666666667,0.222222222222222,0.282828282828283,0.127484676341904,0.182432432432432,0.126994770355357,0.0606060606060606,0.0942760942760943,0.0962086110555239,0.104691740984878,1.21303523239431,0.761968622132141
"31","Partial","46","Partial_green+3","large",3,3,1,5,13,25,14,8,9,16,5,52,0,0,0,2,2,4,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,NA,"type1, less crowns","medium","Laura",0.193581358373297,0.0833333333333333,0.111111111111111,0.202020202020202,0.207162599055594,0.168918918918919,0.0952460777665176,0.0303030303030303,0.0673400673400673,0.156338992965226,0.0969367972082203,0.982558538239395,1.14295293319821
"32","Partial","47","Partial_green+3","small",1,3,2,2,8,16,24,4,5,9,8,50,0,0,0,0,1,1,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.3125,0.0289351851851852,0.186092212413095,0.138888888888889,0.101661349778073,0.108108108108108,0.0646551724137931,0.0695716058796356,0.0387596899224806,0.0817221805439101,0.0617283950617284,1.04741379310345,2.23448275862069
"33","Partial","48","Partial_green+3","medium",4,0,0,0,8,12,4,4,2,1,3,14,0,1,0,0,1,2,19,27.36,8,18,66,10.74736,28.74736,12,27,81,64.89264,84.09264,148,287.2,NA,"5 crowns missing, 2 target crevices compromised","middle","Laura",0,0.146198830409357,0,0,0.123280544604134,0.0810810810810811,0,0,0,0.0951331769343905,0.0417827298050139,0,0
"34","Partial","49","Partial_green+2","small",3,3,5,9,27,47,33,7,9,38,28,115,3,0,1,2,6,12,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.3125,0.0868055555555556,0.465230531032737,0.625,0.343107055500997,0.317567567567568,0.0646551724137931,0.173929014699089,0.174418604651163,0.275812359335697,0.181327160493827,0.356566397652238,0.744827586206897
"35","Partial","50","Partial_green+2","medium",0,1,2,1,7,11,5,1,1,1,0,8,0,0,0,0,0,0,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.0555555555555556,0,0.186092212413095,0.037037037037037,0.121332634457359,0.0743243243243243,0.0151515151515152,0.0695716058796356,0.0123456790123457,0.0910360211328418,0.0383008356545961,0.395592286501377,Inf
"36","Partial","55","Partial_yellow+1","small",0,0,0,4,1,5,2,6,0,5,0,13,0,0,0,0,0,0,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0,0,0,0.277777777777778,0.0127076687222592,0.0337837837837838,0,0,0.0775193798449612,0.0102152725679888,0.0192901234567901,0,NA
"37","Partial","56","Partial_yellow+1","large",2,4,5,6,2,19,10,8,0,14,3,35,0,0,0,1,0,1,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,NA,"type1 - less crowns","medium","Laura",0.258108477831063,0.0555555555555556,0.555555555555556,0.242424242424242,0.0318711690854759,0.128378378378378,0.126994770355357,0.151515151515152,0.0808080808080808,0.024052152763881,0.0736719658782474,1.72378690919192,2.28590586639642
"38","Partial","58","Partial_yellow+1","medium",0,0,0,2,0,2,1,0,0,0,0,1,0,1,0,1,0,2,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0,0,0,0.0740740740740741,0,0.0135135135135135,0,0,0.0246913580246914,0,0.00696378830083566,0,NA
"39","Partial","61","Partial_red+2","large",8,3,0,3,8,22,19,10,9,15,15,68,1,1,0,0,2,4,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,NA,"type1, less crowns","middle","Laura",0.193581358373297,0.222222222222222,0,0.121212121212121,0.127484676341904,0.148648648648649,0.0952460777665176,0,0.0404040404040404,0.0962086110555239,0.0853043815432338,1.11654379345386,0.428607349949329
"40","Partial","62","Partial_red+2","medium",2,3,2,2,5,14,2,4,0,8,4,18,0,1,0,0,0,1,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.166666666666667,0.0578703703703704,0.186092212413095,0.0740740740740741,0.086666167469542,0.0945945945945946,0.0454545454545455,0.0695716058796356,0.0246913580246914,0.0650257293806013,0.0487465181058496,0.932467532467533,0.785454545454546
"41","Partial","63","Partial_red+2","small",3,1,2,1,2,9,19,6,5,9,11,50,3,1,1,1,4,10,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.104166666666667,0.0868055555555556,0.186092212413095,0.0694444444444444,0.0254153374445183,0.0608108108108108,0.021551724137931,0.0695716058796356,0.0193798449612403,0.0204305451359775,0.0347222222222222,0.620689655172414,0.248275862068966
"42","Caged","71","Caged_red+2","large",53,12,19,21,23,128,107,8,8,15,18,156,2,0,2,7,2,13,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,NA,"type2 - more crowns","medium","Laura",0.774325433493188,1.31448412698413,2.11111111111111,1.16666666666667,0.35285468646253,0.864864864864865,0.38098431106607,0.575757575757576,0.388888888888889,0.257897725386914,0.516129032258065,0.738157102690511,0.28983561173932
"43","Caged","72","Caged_red+2","small",20,1,4,7,25,57,51,11,4,10,14,90,2,2,0,1,1,6,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.104166666666667,0.578703703703704,0.37218442482619,0.486111111111111,0.317691718056479,0.385135135135135,0.021551724137931,0.139143211759271,0.135658914728682,0.255381814199719,0.219907407407407,0.0980036297640653,0.0372413793103448
"44","Caged","73","Caged_red+2","medium",21,11,6,15,18,71,73,8,5,24,18,128,12,2,3,6,2,25,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.611111111111111,0.607638888888889,0.558276637239285,0.555555555555556,0.311998202890351,0.47972972972973,0.166666666666667,0.208714817638907,0.185185185185185,0.234092625770165,0.247214484679666,0.674178403755868,0.274285714285714
"45","Caged","74","Caged_green+1","large",3,1,5,3,3,15,64,9,1,21,5,100,0,1,0,0,1,2,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,NA,"type1 - less crowns","medium","Laura",0.0645271194577657,0.0833333333333333,0.555555555555556,0.121212121212121,0.0478067536282139,0.101351351351351,0.0317486925888392,0.151515151515152,0.0404040404040404,0.0360782291458215,0.0581620783249321,0.545865854577442,0.38098431106607
"46","Caged","75","Caged_green+1","medium",3,0,1,3,4,11,47,5,0,1,6,59,0,2,1,2,0,5,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0,0.0868055555555556,0.0930461062065475,0.111111111111111,0.0693329339756336,0.0743243243243243,0,0.0347858029398178,0.037037037037037,0.0520205835044811,0.0383008356545961,0,0
"47","Caged","77","Caged_green+1","small",4,1,6,2,6,19,56,2,0,13,25,96,0,0,0,1,0,1,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.104166666666667,0.115740740740741,0.558276637239285,0.138888888888889,0.076246012333555,0.128378378378378,0.021551724137931,0.208714817638907,0.0387596899224806,0.0612916354079326,0.0733024691358025,0.294010889292196,0.186206896551724
"48","Caged","78","Caged_red+3","small",7,1,1,2,14,25,31,1,7,5,21,65,2,2,0,0,3,7,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.104166666666667,0.202546296296296,0.0930461062065475,0.138888888888889,0.177907362111628,0.168918918918919,0.021551724137931,0.0347858029398178,0.0387596899224806,0.143013815951843,0.0964506172839506,0.223448275862069,0.1064039408867
"49","Caged","79","Caged_red+3","medium",1,0,2,8,10,21,12,11,4,20,14,61,0,0,0,1,0,1,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0,0.0289351851851852,0.186092212413095,0.296296296296296,0.173332334939084,0.141891891891892,0,0.0695716058796356,0.0987654320987654,0.130051458761203,0.0731197771587744,0,0
"50","Caged","80","Caged_red+3","large",6,4,4,9,9,32,47,22,5,22,12,108,1,0,0,2,1,4,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,NA,"type1 - less crowns","medium","Laura",0.258108477831063,0.166666666666667,0.444444444444444,0.363636363636364,0.143420260884642,0.216216216216216,0.126994770355357,0.121212121212121,0.121212121212121,0.108234687437464,0.124079100426522,1.0234984773327,0.761968622132141
"51","Partial","82","Partial_red+3","small",3,0,0,4,8,15,24,4,4,4,8,44,1,0,0,1,4,6,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0,0.0868055555555556,0,0.277777777777778,0.101661349778073,0.101351351351351,0,0,0.0775193798449612,0.0817221805439101,0.0578703703703704,0,0
"52","Partial","83","Partial_yellow+3","large",4,6,5,9,13,37,30,12,5,43,6,96,2,0,0,3,0,5,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,NA,"type1 - less crowns","medium","Laura",0.387162716746594,0.111111111111111,0.555555555555556,0.363636363636364,0.207162599055594,0.25,0.190492155533035,0.151515151515152,0.121212121212121,0.156338992965226,0.143466459868166,1.32778180843162,1.71442939979732
"53","Partial","84","Partial_yellow+3","small",0,4,3,1,6,14,14,4,2,18,32,70,0,2,0,2,2,6,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.416666666666667,0,0.279138318619642,0.0694444444444444,0.076246012333555,0.0945945945945946,0.0862068965517241,0.104357408819453,0.0193798449612403,0.0612916354079326,0.0540123456790123,1.59605911330049,Inf
"54","Partial","85","Partial_yellow+3","medium",3,5,3,4,3,18,54,5,3,22,17,101,0,2,0,0,0,2,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.277777777777778,0.0868055555555556,0.279138318619642,0.148148148148148,0.0519997004817252,0.121621621621622,0.0757575757575758,0.104357408819453,0.0493827160493827,0.0390154376283608,0.0626740947075209,1.20875420875421,0.872727272727273
"55","Partial","86","Partial_red+1","large",0,0,2,1,3,6,3,0,1,0,0,4,0,1,2,0,0,3,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,NA,"type2, more crowns","medium","Alan",0,0,0.222222222222222,0.0555555555555556,0.0460245243211996,0.0405405405405405,0,0.0606060606060606,0.0185185185185185,0.0336388337461192,0.0241935483870968,0,NA
"56","Partial","87","Partial_red+1","medium",1,3,0,7,8,19,4,13,0,5,3,25,0,2,0,0,0,2,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.166666666666667,0.0289351851851852,0,0.259259259259259,0.138665867951267,0.128378378378378,0.0454545454545455,0,0.0864197530864197,0.104041167008962,0.0661559888579387,0.687081339712919,1.57090909090909
"57","Open","87.2","Open_red+3","small",3,5,4,5,2,19,1,3,9,5,5,23,0,3,0,0,0,3,22,31.68,8,18,66,10.74736,28.74736,12,27,81,60.57264,79.77264,148,287.2,NA,"two crowns missing, two small crevices compromised","middle","Laura",0.277777777777778,0.0946969696969697,0.37218442482619,0.185185185185185,0.0330182075603771,0.128378378378378,0.0757575757575758,0.139143211759271,0.0617283950617284,0.0250712524996039,0.0661559888579387,1.1451355661882,0.8
"58","Partial","88","Partial_red+1","small",0,3,0,4,4,11,13,11,3,17,10,54,0,1,0,0,1,2,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,NA,"","middle","Laura",0.3125,0,0,0.277777777777778,0.0508306748890366,0.0743243243243243,0.0646551724137931,0,0.0775193798449612,0.0408610902719551,0.0424382716049383,1.52351097178683,Inf
"59","Partial","89","Partial_red+3","medium",2,1,0,5,1,9,3,2,1,3,0,9,0,1,1,1,0,3,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,NA,"","middle","Laura",0.0555555555555556,0.0578703703703704,0,0.185185185185185,0.0173332334939084,0.0608108108108108,0.0151515151515152,0,0.0617283950617284,0.0130051458761203,0.0313370473537604,0.483501683501684,0.261818181818182
