Date,Reef,Video_code,colour,Species,Individual,fishlength.cm,tile.kind,tile.number,Location,number.bites,length.video.h:min:sec
19.04.2018,LighthouseReef,red-topleft#6,red,Zebrasoma scopas,22,10,large,71,c5,1,0:11:28
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,c6,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#3,red,Acanthurus nigrofuscus,26,9,large,71,c6,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,c7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,9,13,large,71,c7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Acanthurus nigrofuscus,30,10,large,71,c7,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Zebrasoma scopas,15,10,large,71,c7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#5,red,Zebrasoma scopas,18,10,large,71,c7,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#6,red,Acanthurus nigrofuscus,38,9,large,71,c7,1,0:11:28
19.04.2018,LighthouseReef,red-topleft#6,red,Ctenochaetus striatus,31,14,large,71,c7,1,0:11:28
19.04.2018,LighthouseReef,red-topleft#1,red,Acanthurus nigrofuscus,10,9,large,71,c8,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Acanthurus nigrofuscus,10,9,large,71,c8,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,6,18,large,71,c8,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#3,red,Ctenochaetus striatus,17,16,large,71,c8,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Zebrasoma scopas,14,10,large,71,c8,4,0:26:05
19.04.2018,LighthouseReef,red-topleft#4,red,Acanthurus nigrofuscus,30,10,large,71,c8,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#6,red,Zebrasoma scopas,21,10,large,71,c8,2,0:11:28
19.04.2018,LighthouseReef,red-topleft#6,red,Ctenochaetus striatus,31,14,large,71,c8,1,0:11:28
19.04.2018,LighthouseReef,red-topleft#9,red,Zebrasoma scopas,24,10,large,71,c8,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#9,red,Zebrasoma scopas,25,10,large,71,c8,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#9,red,Zebrasoma scopas,27,10,large,71,c8,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,14,13,large,71,c9,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,d2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large,71,d2,2,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,d2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,7,15,large,71,d2,1,0:26:05
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large,71,d2,1,0:26:05
