"","Unique.location","Species","Bites","colour.in.videos","tile.number","Treatment","Crevice.kind","Location","number.LOB.before","number.otherMA.before","number.unknown.before","number.Lob.after","number.otherMA.after","number.unknown.after","number.LOB.removed","number.otherMA.removed","number.unknown.removed"
"366","44.b3","Ctenochaetus binotatus",0,"red",44,"accessible","medium","b3",1,0,0,1,0,0,0,0,0
"373","44.d9","Ctenochaetus binotatus",0,"red",44,"accessible","medium","d9",1,1,0,0,1,0,1,0,0
"374","44.e4","Ctenochaetus binotatus",0,"red",44,"accessible","medium","e4",2,1,0,2,1,0,0,0,0
"375","44.e6","Ctenochaetus binotatus",0,"red",44,"accessible","medium","e6",1,0,0,1,0,0,0,0,0
"377","44.f3","Ctenochaetus binotatus",0,"red",44,"accessible","medium","f3",1,2,0,1,2,0,0,0,0
"386","6.e7","Ctenochaetus binotatus",0,"black",6,"accessible","small","e7",1,0,0,1,0,0,0,0,0
"387","6.f6","Ctenochaetus binotatus",0,"black",6,"accessible","small","f6",4,6,0,4,6,0,0,0,0
"388","6.h3","Ctenochaetus binotatus",0,"black",6,"accessible","small","h3",3,1,0,3,1,0,0,0,0
"389","6.h6","Ctenochaetus binotatus",0,"black",6,"accessible","small","h6",3,3,0,3,3,0,0,0,0
"390","6.h8","Ctenochaetus binotatus",0,"black",6,"accessible","small","h8",8,0,0,8,0,0,0,0,0
"392","71.a6","Ctenochaetus binotatus",0,"red",71,"accessible","large","a6",1,0,0,0,0,0,1,0,0
"395","71.b5","Ctenochaetus binotatus",0,"red",71,"accessible","large","b5",1,8,0,1,8,0,0,0,0
"396","71.c2","Ctenochaetus binotatus",0,"red",71,"accessible","large","c2",2,1,4,2,1,4,0,0,0
"398","71.d2","Ctenochaetus binotatus",0,"red",71,"accessible","large","d2",3,7,0,3,7,0,0,0,0
"399","71.d3","Ctenochaetus binotatus",0,"red",71,"accessible","large","d3",4,1,0,4,1,0,0,0,0
"400","71.d5","Ctenochaetus binotatus",0,"red",71,"accessible","large","d5",2,2,1,2,2,1,0,0,0
"401","71.e1","Ctenochaetus binotatus",0,"red",71,"accessible","large","e1",2,1,0,2,1,0,0,0,0
"402","71.e2","Ctenochaetus binotatus",0,"red",71,"accessible","large","e2",4,1,0,4,1,0,0,0,0
"404","71.f1","Ctenochaetus binotatus",0,"red",71,"accessible","large","f1",1,2,0,1,2,0,0,0,0
"406","71.g1","Ctenochaetus binotatus",0,"red",71,"accessible","large","g1",1,0,1,1,0,1,0,0,0
"407","71.g2","Ctenochaetus binotatus",0,"red",71,"accessible","large","g2",2,2,0,2,2,0,0,0,0
"408","71.g4","Ctenochaetus binotatus",0,"red",71,"accessible","large","g4",4,3,3,4,3,3,0,0,0
"409","71.g8","Ctenochaetus binotatus",0,"red",71,"accessible","large","g8",2,2,0,2,2,0,0,0,0
"410","71.h3","Ctenochaetus binotatus",0,"red",71,"accessible","large","h3",3,2,1,3,2,1,0,0,0
"411","71.h7","Ctenochaetus binotatus",0,"red",71,"accessible","large","h7",6,2,1,6,2,1,0,0,0
"413","71.i4","Ctenochaetus binotatus",0,"red",71,"accessible","large","i4",1,0,0,1,0,0,0,0,0
"418","72.d9","Ctenochaetus binotatus",0,"red",72,"accessible","small","d9",2,0,0,2,0,0,0,0,0
"419","72.e1","Ctenochaetus binotatus",0,"red",72,"accessible","small","e1",2,1,0,2,1,0,0,0,0
"421","72.e4","Ctenochaetus binotatus",0,"red",72,"accessible","small","e4",3,2,0,3,2,0,0,0,0
"424","72.e8","Ctenochaetus binotatus",0,"red",72,"accessible","small","e8",1,1,0,1,1,0,0,0,0
"426","72.f5","Ctenochaetus binotatus",0,"red",72,"accessible","small","f5",1,0,0,1,0,0,0,0,0
"427","72.g2","Ctenochaetus binotatus",0,"red",72,"accessible","small","g2",1,3,0,1,3,0,0,0,0
"429","72.h5","Ctenochaetus binotatus",0,"red",72,"accessible","small","h5",1,4,0,1,4,0,0,0,0
"431","72.i3","Ctenochaetus binotatus",0,"red",72,"accessible","small","i3",1,2,0,0,2,0,1,0,0
"432","72.i4","Ctenochaetus binotatus",0,"red",72,"accessible","small","i4",1,0,0,1,0,0,0,0,0
"434","72.i6","Ctenochaetus binotatus",0,"red",72,"accessible","small","i6",1,0,0,1,0,0,0,0,0
"438","74.b8","Ctenochaetus binotatus",0,"blank",74,"accessible","large","b8",1,0,0,1,0,0,0,0,0
"457","79.f2","Ctenochaetus binotatus",0,"blank",79,"accessible","medium","f2",1,0,0,1,0,0,0,0,0
"461","80.b2","Ctenochaetus binotatus",0,"black",80,"accessible","large","b2",1,4,0,1,3,0,0,1,0
"462","80.b6","Ctenochaetus binotatus",0,"black",80,"accessible","large","b6",1,5,0,1,5,0,0,0,0
"472","80.e2","Ctenochaetus binotatus",1,"black",80,"accessible","large","e2",2,0,1,2,0,1,0,0,0
"473","80.e4","Ctenochaetus binotatus",1,"black",80,"accessible","large","e4",1,5,0,1,5,0,0,0,0
"474","80.f3","Ctenochaetus binotatus",1,"black",80,"accessible","large","f3",1,1,0,1,1,0,0,0,0
"480","80.g4","Ctenochaetus binotatus",0,"black",80,"accessible","large","g4",2,2,0,2,2,0,0,0,0
"482","80.g8","Ctenochaetus binotatus",0,"black",80,"accessible","large","g8",1,2,0,1,2,0,0,0,0
"483","80.h7","Ctenochaetus binotatus",0,"black",80,"accessible","large","h7",1,2,0,1,2,0,0,0,0
"488","107.d5","Ctenochaetus striatus",0,"black",107,"accessible","medium","d5",1,0,0,1,0,0,0,0,0
"489","107.e2","Ctenochaetus striatus",0,"black",107,"accessible","medium","e2",1,0,0,1,0,0,0,0,0
"491","107.f2","Ctenochaetus striatus",0,"black",107,"accessible","medium","f2",1,1,0,1,1,0,0,0,0
"495","107.g2","Ctenochaetus striatus",0,"black",107,"accessible","medium","g2",2,0,0,2,0,0,0,0,0
"500","107.i2","Ctenochaetus striatus",0,"black",107,"accessible","medium","i2",1,0,0,1,0,0,0,0,0
"506","18.b1","Ctenochaetus striatus",0,"blank",18,"accessible","small","b1",1,0,0,0,0,0,1,0,0
"520","18.g7","Ctenochaetus striatus",0,"blank",18,"accessible","small","g7",4,0,0,3,0,0,1,0,0
"524","18.i4","Ctenochaetus striatus",0,"blank",18,"accessible","small","i4",1,1,0,1,1,0,0,0,0
"525","18.i5","Ctenochaetus striatus",0,"blank",18,"accessible","small","i5",1,0,0,1,0,0,0,0,0
"526","18.i6","Ctenochaetus striatus",0,"blank",18,"accessible","small","i6",1,2,0,1,2,0,0,0,0
"528","44.b3","Ctenochaetus striatus",2,"red",44,"accessible","medium","b3",1,0,0,1,0,0,0,0,0
"535","44.d9","Ctenochaetus striatus",0,"red",44,"accessible","medium","d9",1,1,0,0,1,0,1,0,0
"536","44.e4","Ctenochaetus striatus",0,"red",44,"accessible","medium","e4",2,1,0,2,1,0,0,0,0
"537","44.e6","Ctenochaetus striatus",0,"red",44,"accessible","medium","e6",1,0,0,1,0,0,0,0,0
"539","44.f3","Ctenochaetus striatus",0,"red",44,"accessible","medium","f3",1,2,0,1,2,0,0,0,0
"548","6.e7","Ctenochaetus striatus",0,"black",6,"accessible","small","e7",1,0,0,1,0,0,0,0,0
"549","6.f6","Ctenochaetus striatus",0,"black",6,"accessible","small","f6",4,6,0,4,6,0,0,0,0
"550","6.h3","Ctenochaetus striatus",0,"black",6,"accessible","small","h3",3,1,0,3,1,0,0,0,0
"551","6.h6","Ctenochaetus striatus",0,"black",6,"accessible","small","h6",3,3,0,3,3,0,0,0,0
"552","6.h8","Ctenochaetus striatus",0,"black",6,"accessible","small","h8",8,0,0,8,0,0,0,0,0
