colour.in.videos,tile.number,Treatment,Crevice.kind,Location,Unique.location,number.LOB.before,number.otherMA.before,number.unknown.before,number.Lob.after,number.otherMA.after,number.unknown.after,number.LOB.removed,number.otherMA.removed,number.unknown.removed
green,45,caged control,large,f4,45.f4,0,3,0,0,3,0,0,0,0
green,45,caged control,large,f5,45.f5,1,2,0,1,2,0,0,0,0
green,45,caged control,large,f6,45.f6,0,4,0,0,4,0,0,0,0
green,45,caged control,large,f7,45.f7,1,5,0,1,5,0,0,0,0
green,45,caged control,large,f8,45.f8,0,4,0,0,4,0,0,0,0
green,45,caged control,large,f9,45.f9,0,0,0,0,0,0,0,0,0
green,45,caged control,large,g1,45.g1,0,0,0,0,0,0,0,0,0
green,45,caged control,large,g2,45.g2,0,2,0,0,2,0,0,0,0
green,45,caged control,large,g3,45.g3,1,4,0,1,4,0,0,0,0
green,45,caged control,large,g4,45.g4,0,5,0,0,5,0,0,0,0
green,45,caged control,large,g5,45.g5,0,14,0,0,14,0,0,0,0
green,45,caged control,large,g6,45.g6,0,2,0,0,2,0,0,0,0
green,45,caged control,large,g7,45.g7,1,22,0,1,19,0,0,3,0
green,45,caged control,large,g8,45.g8,0,6,0,0,6,0,0,0,0
green,45,caged control,large,g9,45.g9,0,2,0,0,2,0,0,0,0
green,45,caged control,large,h1,45.h1,0,0,0,0,0,0,0,0,0
green,45,caged control,large,h2,45.h2,0,2,0,0,2,0,0,0,0
green,45,caged control,large,h3,45.h3,1,3,0,1,3,0,0,0,0
green,45,caged control,large,h4,45.h4,0,9,0,0,9,0,0,0,0
green,45,caged control,large,h5,45.h5,0,0,0,0,0,0,0,0,0
green,45,caged control,large,h6,45.h6,1,7,0,1,7,0,0,0,0
green,45,caged control,large,h7,45.h7,1,1,0,1,1,0,0,0,0
green,45,caged control,large,h8,45.h8,0,6,0,0,6,0,0,0,0
green,45,caged control,large,h9,45.h9,1,1,0,1,1,0,0,0,0
green,45,caged control,large,i1,45.i1,1,0,0,1,0,0,0,0,0
green,45,caged control,large,i2,45.i2,0,0,0,0,0,0,0,0,0
green,45,caged control,large,i3,45.i3,0,0,0,0,0,0,0,0,0
green,45,caged control,large,i4,45.i4,0,2,0,0,2,0,0,0,0
green,45,caged control,large,i5,45.i5,0,0,0,0,0,0,0,0,0
green,45,caged control,large,i6,45.i6,0,2,0,0,2,0,0,0,0
green,45,caged control,large,i7,45.i7,2,2,0,2,2,0,0,0,0
green,45,caged control,large,i8,45.i8,0,1,0,0,1,0,0,0,0
