Tile.kind,Location,Location.kind,tile.number
large.less,a6,outside,74
large.less,a7,outside,74
large.less,a8,outside,74
large.less,a9,outside,74
large.less,b1,outside,74
large.less,b9,outside,74
large.less,c1,outside,74
large.less,c9,outside,74
large.less,d1,outside,74
large.less,d9,outside,74
large.less,e1,outside,74
large.less,e9,outside,74
large.less,f1,outside,74
large.less,f9,outside,74
large.less,g1,outside,74
large.less,g9,outside,74
large.less,h1,outside,74
large.less,h9,outside,74
large.less,i1,outside,74
large.less,i2,outside,74
large.less,i3,outside,74
large.less,i4,outside,74
large.less,i5,outside,74
large.less,i6,outside,74
large.less,i7,outside,74
large.less,i8,outside,74
large.less,i9,outside,74
medium,a1,outside,107
medium,a2,outside,107
medium,a3,outside,107
medium,a4,outside,107
medium,a5,outside,107
medium,a6,outside,107
medium,a7,outside,107
medium,a8,outside,107
medium,a9,outside,107
medium,b1,outside,107
medium,b9,outside,107
medium,c1,outside,107
medium,c9,outside,107
medium,d1,outside,107
medium,d9,outside,107
medium,e1,outside,107
medium,e9,outside,107
medium,f1,outside,107
medium,f9,outside,107
medium,g1,outside,107
medium,g9,outside,107
medium,h1,outside,107
medium,h2,outside,107
medium,h3,outside,107
medium,h4,outside,107
medium,h5,outside,107
medium,h6,outside,107
medium,h7,outside,107
medium,h8,outside,107
medium,h9,outside,107
medium,i1,outside,107
medium,i2,outside,107
medium,i3,outside,107
medium,i4,outside,107
medium,i5,outside,107
medium,i6,outside,107
medium,i7,outside,107
medium,i8,outside,107
medium,i9,outside,107
medium,a1,outside,79
medium,a2,outside,79
medium,a3,outside,79
medium,a4,outside,79
medium,a5,outside,79
medium,a6,outside,79
medium,a7,outside,79
medium,a8,outside,79
medium,a9,outside,79
medium,b1,outside,79
medium,b9,outside,79
medium,c1,outside,79
medium,c9,outside,79
medium,d1,outside,79
medium,d9,outside,79
medium,e1,outside,79
medium,e9,outside,79
medium,f1,outside,79
medium,f9,outside,79
medium,g1,outside,79
medium,g9,outside,79
medium,h1,outside,79
medium,h2,outside,79
medium,h3,outside,79
medium,h4,outside,79
medium,h5,outside,79
medium,h6,outside,79
medium,h7,outside,79
medium,h8,outside,79
medium,h9,outside,79
medium,i1,outside,79
medium,i2,outside,79
medium,i3,outside,79
medium,i4,outside,79
medium,i5,outside,79
medium,i6,outside,79
medium,i7,outside,79
medium,i8,outside,79
medium,i9,outside,79
medium,a1,outside,44
medium,a2,outside,44
medium,a3,outside,44
medium,a4,outside,44
medium,a5,outside,44
medium,a6,outside,44
medium,a7,outside,44
medium,a8,outside,44
medium,a9,outside,44
medium,b1,outside,44
medium,b9,outside,44
medium,c1,outside,44
medium,c9,outside,44
medium,d1,outside,44
medium,d9,outside,44
medium,e1,outside,44
medium,e9,outside,44
medium,f1,outside,44
medium,f9,outside,44
medium,g1,outside,44
medium,g9,outside,44
medium,h1,outside,44
medium,h2,outside,44
medium,h3,outside,44
medium,h4,outside,44
medium,h5,outside,44
medium,h6,outside,44
medium,h7,outside,44
medium,h8,outside,44
medium,h9,outside,44
medium,i1,outside,44
medium,i2,outside,44
medium,i3,outside,44
medium,i4,outside,44
medium,i5,outside,44
medium,i6,outside,44
medium,i7,outside,44
medium,i8,outside,44
medium,i9,outside,44
small,a1,outside,72
small,a2,outside,72
small,a3,outside,72
small,a4,outside,72
small,a5,outside,72
small,a6,outside,72
small,a7,outside,72
small,a8,outside,72
small,a9,outside,72
small,b1,outside,72
small,b9,outside,72
small,c1,outside,72
small,c9,outside,72
small,d1,outside,72
small,d9,outside,72
small,e1,outside,72
small,e9,outside,72
small,f1,outside,72
small,f9,outside,72
small,g1,outside,72
small,g9,outside,72
small,h1,outside,72
small,h2,outside,72
small,h3,outside,72
small,h4,outside,72
small,h5,outside,72
small,h6,outside,72
small,h7,outside,72
small,h8,outside,72
small,h9,outside,72
small,i1,outside,72
small,i2,outside,72
small,i3,outside,72
small,i4,outside,72
small,i5,outside,72
small,i6,outside,72
small,i7,outside,72
small,i8,outside,72
small,i9,outside,72
small,a1,outside,6
small,a2,outside,6
small,a3,outside,6
