"","Unique.location","Species","Bites","colour.in.videos","tile.number","Treatment","Crevice.kind","Location","number.LOB.before","number.otherMA.before","number.unknown.before","number.Lob.after","number.otherMA.after","number.unknown.after","number.LOB.removed","number.otherMA.removed","number.unknown.removed"
"71","71.b5","Acanthurus nigrofuscus",0,"red",71,"accessible","large","b5",1,8,0,1,8,0,0,0,0
"72","71.c2","Acanthurus nigrofuscus",0,"red",71,"accessible","large","c2",2,1,4,2,1,4,0,0,0
"73","71.c9","Acanthurus nigrofuscus",0,"red",71,"accessible","large","c9",0,1,0,0,1,0,0,0,0
"74","71.d2","Acanthurus nigrofuscus",0,"red",71,"accessible","large","d2",3,7,0,3,7,0,0,0,0
"75","71.d3","Acanthurus nigrofuscus",0,"red",71,"accessible","large","d3",4,1,0,4,1,0,0,0,0
"76","71.d5","Acanthurus nigrofuscus",0,"red",71,"accessible","large","d5",2,2,1,2,2,1,0,0,0
"77","71.e1","Acanthurus nigrofuscus",0,"red",71,"accessible","large","e1",2,1,0,2,1,0,0,0,0
"78","71.e2","Acanthurus nigrofuscus",0,"red",71,"accessible","large","e2",4,1,0,4,1,0,0,0,0
"79","71.e9","Acanthurus nigrofuscus",0,"red",71,"accessible","large","e9",0,0,0,0,0,0,0,0,0
"80","71.f1","Acanthurus nigrofuscus",0,"red",71,"accessible","large","f1",1,2,0,1,2,0,0,0,0
"81","71.f9","Acanthurus nigrofuscus",0,"red",71,"accessible","large","f9",0,2,0,0,2,0,0,0,0
"82","71.g1","Acanthurus nigrofuscus",0,"red",71,"accessible","large","g1",1,0,1,1,0,1,0,0,0
"83","71.g2","Acanthurus nigrofuscus",0,"red",71,"accessible","large","g2",2,2,0,2,2,0,0,0,0
"84","71.g4","Acanthurus nigrofuscus",0,"red",71,"accessible","large","g4",4,3,3,4,3,3,0,0,0
"85","71.g8","Acanthurus nigrofuscus",0,"red",71,"accessible","large","g8",2,2,0,2,2,0,0,0,0
"86","71.h3","Acanthurus nigrofuscus",0,"red",71,"accessible","large","h3",3,2,1,3,2,1,0,0,0
"87","71.h7","Acanthurus nigrofuscus",0,"red",71,"accessible","large","h7",6,2,1,6,2,1,0,0,0
"88","71.i2","Acanthurus nigrofuscus",0,"red",71,"accessible","large","i2",0,0,0,0,0,0,0,0,0
"89","71.i4","Acanthurus nigrofuscus",0,"red",71,"accessible","large","i4",1,0,0,1,0,0,0,0,0
"90","72.a1","Acanthurus nigrofuscus",0,"red",72,"accessible","small","a1",0,0,0,0,0,0,0,0,0
"91","72.b3","Acanthurus nigrofuscus",0,"red",72,"accessible","small","b3",0,3,0,0,3,0,0,0,0
"92","72.b9","Acanthurus nigrofuscus",6,"red",72,"accessible","small","b9",0,0,0,0,0,0,0,0,0
"93","72.d5","Acanthurus nigrofuscus",0,"red",72,"accessible","small","d5",0,1,0,0,1,0,0,0,0
"94","72.d9","Acanthurus nigrofuscus",1,"red",72,"accessible","small","d9",2,0,0,2,0,0,0,0,0
"95","72.e1","Acanthurus nigrofuscus",0,"red",72,"accessible","small","e1",2,1,0,2,1,0,0,0,0
"96","72.e2","Acanthurus nigrofuscus",0,"red",72,"accessible","small","e2",0,1,0,0,1,0,0,0,0
"97","72.e4","Acanthurus nigrofuscus",0,"red",72,"accessible","small","e4",3,2,0,3,2,0,0,0,0
"98","72.e6","Acanthurus nigrofuscus",0,"red",72,"accessible","small","e6",0,0,0,0,0,0,0,0,0
"99","72.e7","Acanthurus nigrofuscus",0,"red",72,"accessible","small","e7",0,3,0,0,3,0,0,0,0
"100","72.e8","Acanthurus nigrofuscus",0,"red",72,"accessible","small","e8",1,1,0,1,1,0,0,0,0
"101","72.f3","Acanthurus nigrofuscus",0,"red",72,"accessible","small","f3",0,2,0,0,2,0,0,0,0
"102","72.f5","Acanthurus nigrofuscus",0,"red",72,"accessible","small","f5",1,0,0,1,0,0,0,0,0
"103","72.g2","Acanthurus nigrofuscus",0,"red",72,"accessible","small","g2",1,3,0,1,3,0,0,0,0
"104","72.g6","Acanthurus nigrofuscus",0,"red",72,"accessible","small","g6",0,2,0,0,2,0,0,0,0
"105","72.h5","Acanthurus nigrofuscus",0,"red",72,"accessible","small","h5",1,4,0,1,4,0,0,0,0
"106","72.i2","Acanthurus nigrofuscus",3,"red",72,"accessible","small","i2",0,0,0,0,0,0,0,0,0
"107","72.i3","Acanthurus nigrofuscus",2,"red",72,"accessible","small","i3",1,2,0,0,2,0,1,0,0
"108","72.i4","Acanthurus nigrofuscus",0,"red",72,"accessible","small","i4",1,0,0,1,0,0,0,0,0
"109","72.i5","Acanthurus nigrofuscus",0,"red",72,"accessible","small","i5",0,0,0,0,0,0,0,0,0
"110","72.i6","Acanthurus nigrofuscus",0,"red",72,"accessible","small","i6",1,0,0,1,0,0,0,0,0
"111","74.b2","Acanthurus nigrofuscus",0,"blank",74,"accessible","large","b2",0,7,0,0,7,0,0,0,0
"112","74.b4","Acanthurus nigrofuscus",0,"blank",74,"accessible","large","b4",0,2,0,0,0,0,0,2,0
"113","74.b5","Acanthurus nigrofuscus",0,"blank",74,"accessible","large","b5",0,0,0,0,0,0,0,0,0
"114","74.b8","Acanthurus nigrofuscus",0,"blank",74,"accessible","large","b8",1,0,0,1,0,0,0,0,0
"115","74.c3","Acanthurus nigrofuscus",0,"blank",74,"accessible","large","c3",0,3,0,0,2,0,0,1,0
"116","74.c6","Acanthurus nigrofuscus",0,"blank",74,"accessible","large","c6",0,2,0,0,2,0,0,0,0
"117","74.d2","Acanthurus nigrofuscus",0,"blank",74,"accessible","large","d2",0,0,0,0,0,0,0,0,0
"118","74.d3","Acanthurus nigrofuscus",0,"blank",74,"accessible","large","d3",0,1,0,0,1,0,0,0,0
"119","74.d5","Acanthurus nigrofuscus",0,"blank",74,"accessible","large","d5",0,0,0,0,0,0,0,0,0
"120","74.d8","Acanthurus nigrofuscus",0,"blank",74,"accessible","large","d8",0,4,0,0,4,0,0,0,0
"121","74.e7","Acanthurus nigrofuscus",0,"blank",74,"accessible","large","e7",0,4,0,0,4,0,0,0,0
"122","74.f4","Acanthurus nigrofuscus",0,"blank",74,"accessible","large","f4",0,3,0,0,3,0,0,0,0
"123","74.g3","Acanthurus nigrofuscus",0,"blank",74,"accessible","large","g3",0,5,0,0,5,0,0,0,0
"124","74.g7","Acanthurus nigrofuscus",0,"blank",74,"accessible","large","g7",0,1,0,0,1,0,0,0,0
"125","74.g8","Acanthurus nigrofuscus",0,"blank",74,"accessible","large","g8",0,0,0,0,0,0,0,0,0
