"","X","Reef","Treatment","Genus","Species","Genus.species","Individual","Species.Code","Indiviual.code","Body.length","tile.kind","crown","outside","targetcrevice","opencrevice","othercrevice","Video_code","ColourCode","tile.number","video.length.min.sec.","video.length.min","comment","Area.crown.cm2","Area.target.cm2","Area.other.cm2","Area.open.cm2","Area.outside.cm2","Date","colour","Location","Bites.cm2.crown","Bites.cm2.targetcrevice","Bites.cm2.othercrevice","Bites.cm2.opencrevice","Bites.cm2.outside","Bites.cm2.min.crown","Bites.cm2.min.targetcrevice","Bites.cm2.min.othercrevice","Bites.cm2.min.opencrevice","Bites.cm2.min.outside"
"39",19,"Lighthouse Reef","recruitment","Acanthurus","nigrofuscus","Acanthurus nigrofuscus",19,"Anigro","Anigro19",9,"medium crevice",22,15,0,0,0,"1red3white#5","1 red + 3 white",9.2,26.05,26.083,"",34.56,18,10.74736,27,76.89264,NA,NA,NA,0.636574074074074,0,0,0,0.195077188141804,0.0244057077051748,0,0,0,0.00747909320790568
"40",20,"Lighthouse Reef","recruitment","Acanthurus","nigrofuscus","Acanthurus nigrofuscus",19,"Anigro","Anigro19",9,"medium crevice",11,0,0,0,0,"1red3white#5","1 red + 3 white",9.2,26.05,26.083,"",34.56,18,10.74736,27,76.89264,NA,NA,NA,0.318287037037037,0,0,0,0,0.0122028538525874,0,0,0,0
"41",21,"Lighthouse Reef","recruitment","Acanthurus","nigrofuscus","Acanthurus nigrofuscus",20,"Anigro","Anigro20",8,"medium crevice",6,0,0,0,0,"1red3white#5","1 red + 3 white",9.2,26.05,26.083,"",34.56,18,10.74736,27,76.89264,NA,NA,NA,0.173611111111111,0,0,0,0,0.00665610210141131,0,0,0,0
"42",22,"Lighthouse Reef","recruitment","Acanthurus","nigrofuscus","Acanthurus nigrofuscus",21,"Anigro","Anigro21",10,"medium crevice",33,2,0,1,0,"1red3white#5","1 red + 3 white",9.2,26.05,26.083,"",34.56,18,10.74736,27,76.89264,NA,NA,NA,0.954861111111111,0,0,0.037037037037037,0.0260102917522405,0.0366085615577622,0,0,0.00141996844830108,0.000997212427720758
"43",23,"Lighthouse Reef","recruitment","Acanthurus","nigrofuscus","Acanthurus nigrofuscus",22,"Anigro","Anigro22",8,"medium crevice",7,13,0,3,0,"1red3white#5","1 red + 3 white",9.2,26.05,26.083,"",34.56,18,10.74736,27,76.89264,NA,NA,NA,0.202546296296296,0,0,0.111111111111111,0.169066896389563,0.00776545245164652,0,0,0.00425990534490324,0.00648188078018493
"44",24,"Lighthouse Reef","recruitment","Acanthurus","nigrofuscus","Acanthurus nigrofuscus",22,"Anigro","Anigro22",8,"medium crevice",18,5,0,0,0,"1red3white#5","1 red + 3 white",9.2,26.05,26.083,"",34.56,18,10.74736,27,76.89264,NA,NA,NA,0.520833333333333,0,0,0,0.0650257293806013,0.0199683063042339,0,0,0,0.00249303106930189
"45",25,"Lighthouse Reef","recruitment","Acanthurus","nigrofuscus","Acanthurus nigrofuscus",21,"Anigro","Anigro21",10,"medium crevice",12,0,1,1,0,"1red3white#5","1 red + 3 white",9.2,26.05,26.083,"",34.56,18,10.74736,27,76.89264,NA,NA,NA,0.347222222222222,0.0555555555555556,0,0.037037037037037,0,0.0133122042028226,0.00212995267245162,0,0.00141996844830108,0
"46",293,"Lighthouse Reef","recruitment","blenny","sp","blenny",35,"blen","blen35",5,"medium crevice",1,28,0,9,0,"1red3white#6","1 red + 3 white",9.2,12.46,12.76,"",34.56,18,10.74736,27,76.89264,NA,NA,NA,0.0289351851851852,0,0,0.333333333333333,0.364144084531367,0.00226764774178567,0,0,0.0261233019853709,0.0285379376591981
"47",294,"Lighthouse Reef","recruitment","blenny","sp","blenny",1,"blen","blen1",5,"medium crevice",13,7,7,5,0,"1red3white#1","1 red + 3 white",9.2,26.05,26.083,"",34.56,18,10.74736,27,76.89264,NA,NA,NA,0.376157407407407,0.388888888888889,0,0.185185185185185,0.0910360211328418,0.0144215545530578,0.0149096687071613,0,0.00709984224150539,0.00349024349702265
"48",295,"Lighthouse Reef","recruitment","blenny","sp","blenny",1,"blen","blen1",5,"medium crevice",5,10,0,2,0,"1red3white#1","1 red + 3 white",9.2,26.05,26.083,"",34.56,18,10.74736,27,76.89264,NA,NA,NA,0.144675925925926,0,0,0.0740740740740741,0.130051458761203,0.00554675175117609,0,0,0.00283993689660216,0.00498606213860379
