"","Date","Reef","Video_code","colour","Species","Individual","fishlength.cm","tile.kind","tile.number","Location","Unique.location","number.bites","length.video.h.min.sec","length.video.min","comment","parrot.phase","Tile.kind","Location.kind"
"49","19.04.2018","LighthouseReef","black-topright#12","black","Ctenochaetus binotatus","4",5,"large crevice","80","i4","80.i4",2,"0:22:48",22.8,"","","large.less","outside"
"50","19.04.2018","LighthouseReef","black-topright#3","black","Chlorurus sordidus","1",18,"large crevice","80","h2","80.h2",8,"0:26:05",26.08,"","Chlorurus sordidus TP","large.less","crown"
"51","19.04.2018","LighthouseReef","black-topright#3","black","Chlorurus sordidus","1",18,"large crevice","80","h6","80.h6",3,"0:26:05",26.08,"","Chlorurus sordidus TP","large.less","crown"
"52","19.04.2018","LighthouseReef","black-topright#4","black","Chlorurus sordidus","4",12,"large crevice","80","g7","80.g7",1,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","crown"
"53","19.04.2018","LighthouseReef","black-topright#4","black","Chlorurus sordidus","4",12,"large crevice","80","g8","80.g8",1,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","opencrevice"
"54","19.04.2018","LighthouseReef","black-topright#4","black","Chlorurus sordidus","3",13,"large crevice","80","h2","80.h2",3,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","crown"
"55","19.04.2018","LighthouseReef","black-topright#4","black","Chlorurus sordidus","4",12,"large crevice","80","h2","80.h2",1,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","crown"
"56","19.04.2018","LighthouseReef","black-topright#4","black","Chlorurus sordidus","3",13,"large crevice","80","h4","80.h4",1,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","crown"
"57","19.04.2018","LighthouseReef","black-topright#4","black","Chlorurus sordidus","4",12,"large crevice","80","h4","80.h4",5,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","crown"
"58","19.04.2018","LighthouseReef","black-topright#4","black","Chlorurus sordidus","4",12,"large crevice","80","h7","80.h7",1,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","opencrevice"
"59","19.04.2018","LighthouseReef","black-topright#5","black","Chlorurus sordidus","7",13,"large crevice","80","g7","80.g7",1,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","crown"
"60","19.04.2018","LighthouseReef","black-topright#5","black","Chlorurus sordidus","8",13,"large crevice","80","h2","80.h2",1,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","crown"
"61","19.04.2018","LighthouseReef","black-topright#5","black","Chlorurus sordidus","7",13,"large crevice","80","h6","80.h6",3,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","crown"
"62","19.04.2018","LighthouseReef","black-topright#5","black","Chlorurus sordidus","7",13,"large crevice","80","h7","80.h7",2,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","opencrevice"
"63","19.04.2018","LighthouseReef","black-topright#5","black","Chlorurus sordidus","7",13,"large crevice","80","h8","80.h8",9,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","crown"
"64","19.04.2018","LighthouseReef","black-topright#5","black","Chlorurus sordidus","8",13,"large crevice","80","i5","80.i5",1,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","outside"
"65","19.04.2018","LighthouseReef","black-topright#8","black","Chlorurus sordidus","9",11,"large crevice","80","h2","80.h2",2,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","crown"
"66","19.04.2018","LighthouseReef","black-topright#8","black","Chlorurus sordidus","9",11,"large crevice","80","h4","80.h4",1,"0:26:05",26.08,"","parrot IP (Chlorurus sordidus)","large.less","crown"
"67","19.04.2018","LighthouseReef","black-topright#9","black","Naso lituratus","1",20,"large crevice","80","b2","80.b2",1,"0:26:05",26.08,"","","large.less","crown"
"68","19.04.2018","LighthouseReef","black-topright#9","black","Naso lituratus","1",20,"large crevice","80","b4","80.b4",4,"0:26:05",26.08,"","","large.less","crown"
"69","19.04.2018","LighthouseReef","black-topright#9","black","Naso lituratus","1",20,"large crevice","80","b6","80.b6",4,"0:26:05",26.08,"","","large.less","crown"
"70","19.04.2018","LighthouseReef","black-topright#9","black","Ctenochaetus binotatus","1",5,"large crevice","80","c4","80.c4",1,"0:26:05",26.08,"","","large.less","targetcrevice"
"71","19.04.2018","LighthouseReef","black-topright#9","black","Naso lituratus","1",20,"large crevice","80","c6","80.c6",2,"0:26:05",26.08,"","","large.less","targetcrevice"
"72","19.04.2018","LighthouseReef","black-topright#9","black","Naso lituratus","1",20,"large crevice","80","d2","80.d2",1,"0:26:05",26.08,"","","large.less","crown"
"73","19.04.2018","LighthouseReef","black-topright#9","black","Naso lituratus","1",20,"large crevice","80","d3","80.d3",2,"0:26:05",26.08,"","","large.less","crown"
"74","19.04.2018","LighthouseReef","black-topright#9","black","Ctenochaetus binotatus","1",5,"large crevice","80","e3","80.e3",1,"0:26:05",26.08,"","","large.less","crown"
"75","19.04.2018","LighthouseReef","black-topright#9","black","Naso lituratus","1",20,"large crevice","80","e3","80.e3",2,"0:26:05",26.08,"","","large.less","crown"
"76","19.04.2018","LighthouseReef","black-topright#9","black","Naso lituratus","1",20,"large crevice","80","f2","80.f2",6,"0:26:05",26.08,"","","large.less","crown"
"77","19.04.2018","LighthouseReef","black-topright#9","black","Naso lituratus","1",20,"large crevice","80","f8","80.f8",1,"0:26:05",26.08,"","","large.less","crown"
"78","19.04.2018","LighthouseReef","black-topright#9","black","Naso lituratus","1",20,"large crevice","80","g1","80.g1",3,"0:26:05",26.08,"","","large.less","outside"
"79","19.04.2018","LighthouseReef","black-topright#9","black","Naso lituratus","1",20,"large crevice","80","h2","80.h2",3,"0:26:05",26.08,"","","large.less","crown"
"80","19.04.2018","LighthouseReef","black-topright#9","black","Naso lituratus","1",20,"large crevice","80","i3","80.i3",1,"0:26:05",26.08,"","","large.less","outside"
"81","19.04.2018","LighthouseReef","nocolour-topleft#11","blank","Scarus niger","2",24,"large crevice","74","b2","74.b2",1,"0:21:56",21.93,"","","large.less","crown"
"82","19.04.2018","LighthouseReef","nocolour-topleft#11","blank","Scarus niger","1",24,"large crevice","74","b4","74.b4",1,"0:21:56",21.93,"","","large.less","crown"
"83","19.04.2018","LighthouseReef","nocolour-topleft#11","blank","Scarus niger","1",24,"large crevice","74","b5","74.b5",1,"0:21:56",21.93,"","","large.less","crown"
"84","19.04.2018","LighthouseReef","nocolour-topleft#11","blank","Scarus niger","1",24,"large crevice","74","b8","74.b8",1,"0:21:56",21.93,"","","large.less","crown"
"85","19.04.2018","LighthouseReef","nocolour-topleft#11","blank","Scarus niger","1",24,"large crevice","74","c3","74.c3",1,"0:21:56",21.93,"","","large.less","crown"
"86","19.04.2018","LighthouseReef","nocolour-topleft#11","blank","Scarus niger","2",24,"large crevice","74","c6","74.c6",1,"0:21:56",21.93,"","","large.less","targetcrevice"
"87","19.04.2018","LighthouseReef","nocolour-topleft#11","blank","Scarus niger","1",24,"large crevice","74","d2","74.d2",2,"0:21:56",21.93,"","","large.less","crown"
"88","19.04.2018","LighthouseReef","nocolour-topleft#11","blank","Scarus niger","2",24,"large crevice","74","d3","74.d3",1,"0:21:56",21.93,"","","large.less","crown"
"89","19.04.2018","LighthouseReef","nocolour-topleft#11","blank","Scarus niger","2",24,"large crevice","74","d5","74.d5",1,"0:21:56",21.93,"","","large.less","targetcrevice"
"90","19.04.2018","LighthouseReef","nocolour-topleft#11","blank","Scarus niger","1",24,"large crevice","74","d8","74.d8",1,"0:21:56",21.93,"","","large.less","crown"
"91","19.04.2018","LighthouseReef","nocolour-topleft#11","blank","Scarus niger","1",24,"large crevice","74","e7","74.e7",1,"0:21:56",21.93,"","","large.less","crown"
"92","19.04.2018","LighthouseReef","nocolour-topleft#11","blank","Scarus niger","1",24,"large crevice","74","f4","74.f4",1,"0:21:56",21.93,"","","large.less","crown"
"93","19.04.2018","LighthouseReef","nocolour-topleft#11","blank","Scarus niger","1",24,"large crevice","74","g3","74.g3",2,"0:21:56",21.93,"","","large.less","crown"
"94","19.04.2018","LighthouseReef","nocolour-topleft#11","blank","Scarus niger","1",24,"large crevice","74","g7","74.g7",1,"0:21:56",21.93,"","","large.less","crown"
"95","19.04.2018","LighthouseReef","nocolour-topleft#2","blank","Pomacentrus bankanensis","1",4,"large crevice","74","g8","74.g8",1,"0:26:05",26.08,"","","large.less","opencrevice"
"96","19.04.2018","LighthouseReef","nocolour-topleft#2","blank",NA,NA,NA,"large crevice","74","g9","74.g9",0,"0:26:05",26.08,"","","large.less","outside"
"97","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","b2","71.b2",2,"0:26:05",26.08,"","","large.more","crown"
"98","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","b4","71.b4",1,"0:26:05",26.08,"","","large.more","crown"
"99","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","b4","71.b4",1,"0:26:05",26.08,"","","large.more","crown"
"100","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","6",18,"large crevice","71","b6","71.b6",2,"0:26:05",26.08,"","","large.more","crown"
"101","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","6",18,"large crevice","71","b7","71.b7",2,"0:26:05",26.08,"","","large.more","crown"
"102","19.04.2018","LighthouseReef","red-topleft#1","red","Acanthurus nigrofuscus","10",9,"large crevice","71","b8","71.b8",3,"0:26:05",26.08,"","","large.more","crown"
"103","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","6",18,"large crevice","71","b8","71.b8",1,"0:26:05",26.08,"","","large.more","crown"
"104","19.04.2018","LighthouseReef","red-topleft#1","red","Acanthurus nigrofuscus","1",9,"large crevice","71","b9","71.b9",2,"0:26:05",26.08,"","","large.more","outside"
"105","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","c2","71.c2",2,"0:26:05",26.08,"","","large.more","opencrevice"
"106","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","c3","71.c3",1,"0:26:05",26.08,"","","large.more","crown"
"107","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","c4","71.c4",1,"0:26:05",26.08,"","","large.more","crown"
"108","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","6",18,"large crevice","71","c4","71.c4",1,"0:26:05",26.08,"","","large.more","crown"
"109","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","c5","71.c5",1,"0:26:05",26.08,"","","large.more","targetcrevice"
"110","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","c6","71.c6",2,"0:26:05",26.08,"","","large.more","targetcrevice"
"111","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","c7","71.c7",1,"0:26:05",26.08,"","","large.more","targetcrevice"
"112","19.04.2018","LighthouseReef","red-topleft#1","red","Acanthurus nigrofuscus","10",9,"large crevice","71","c8","71.c8",2,"0:26:05",26.08,"","","large.more","crown"
"113","19.04.2018","LighthouseReef","red-topleft#1","red","Acanthurus nigrofuscus","10",9,"large crevice","71","c8","71.c8",1,"0:26:05",26.08,"","","large.more","crown"
"114","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","6",18,"large crevice","71","c8","71.c8",2,"0:26:05",26.08,"","","large.more","crown"
"115","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","d2","71.d2",1,"0:26:05",26.08,"","","large.more","crown"
"116","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","d2","71.d2",2,"0:26:05",26.08,"","","large.more","crown"
"117","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","d3","71.d3",1,"0:26:05",26.08,"","","large.more","othercrevice"
"118","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","d4","71.d4",2,"0:26:05",26.08,"","","large.more","crown"
"119","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","d4","71.d4",1,"0:26:05",26.08,"","","large.more","crown"
"120","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","d7","71.d7",1,"0:26:05",26.08,"","","large.more","targetcrevice"
"121","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","6",18,"large crevice","71","d8","71.d8",2,"0:26:05",26.08,"","","large.more","crown"
"122","19.04.2018","LighthouseReef","red-topleft#1","red","Acanthurus nigrofuscus","1",9,"large crevice","71","d9","71.d9",2,"0:26:05",26.08,"","","large.more","outside"
"123","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","e2","71.e2",2,"0:26:05",26.08,"","","large.more","opencrevice"
"124","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","e3","71.e3",2,"0:26:05",26.08,"","","large.more","crown"
"125","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","e3","71.e3",1,"0:26:05",26.08,"","","large.more","crown"
"126","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","e4","71.e4",2,"0:26:05",26.08,"","","large.more","crown"
"127","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","e4","71.e4",1,"0:26:05",26.08,"","","large.more","crown"
"128","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","e7","71.e7",1,"0:26:05",26.08,"","","large.more","targetcrevice"
"129","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","e8","71.e8",3,"0:26:05",26.08,"","","large.more","crown"
"130","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","6",18,"large crevice","71","e8","71.e8",1,"0:26:05",26.08,"","","large.more","crown"
"131","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","3",18,"large crevice","71","f2","71.f2",1,"0:26:05",26.08,"","","large.more","crown"
"132","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","f2","71.f2",1,"0:26:05",26.08,"","","large.more","crown"
"133","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","f4","71.f4",1,"0:26:05",26.08,"","","large.more","crown"
"134","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","f4","71.f4",1,"0:26:05",26.08,"","","large.more","crown"
"135","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","f5","71.f5",1,"0:26:05",26.08,"","","large.more","crown"
"136","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","f7","71.f7",1,"0:26:05",26.08,"","","large.more","crown"
"137","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","3",18,"large crevice","71","g2","71.g2",2,"0:26:05",26.08,"","","large.more","opencrevice"
"138","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","g7","71.g7",1,"0:26:05",26.08,"","","large.more","crown"
"139","19.04.2018","LighthouseReef","red-topleft#1","red","Zebrasoma scopas","4",10,"large crevice","71","g7","71.g7",1,"0:26:05",26.08,"","","large.more","crown"
"140","19.04.2018","LighthouseReef","red-topleft#1","red","Zebrasoma scopas","1",10,"large crevice","71","h4","71.h4",2,"0:26:05",26.08,"","","large.more","crown"
"141","19.04.2018","LighthouseReef","red-topleft#1","red","Ctenochaetus striatus","4",17,"large crevice","71","h6","71.h6",1,"0:26:05",26.08,"","","large.more","crown"
"142","19.04.2018","LighthouseReef","red-topleft#1","red","Zebrasoma scopas","4",10,"large crevice","71","h6","71.h6",1,"0:26:05",26.08,"","","large.more","crown"
"143","19.04.2018","LighthouseReef","red-topleft#1","red","Acanthurus nigrofuscus","9",9,"large crevice","71","h8","71.h8",4,"0:26:05",26.08,"","","large.more","crown"
