Date,Reef,Video_code,colour,Species,Individual,fishlength.cm,tile.kind,tile.number,Location,Unique.location,number.bites,length.video.h:min:sec,length.video.min,comment,parrot.phase
19.04.2018,LighthouseReef,black-topright#9,black,Naso lituratus,1,20,large crevice,80,b4,80.b4,4,0:26:05,26.08,,
19.04.2018,LighthouseReef,black-topright#9,black,Naso lituratus,1,20,large crevice,80,b6,80.b6,4,0:26:05,26.08,,
19.04.2018,LighthouseReef,black-topright#9,black,Ctenochaetus binotatus,1,5,large crevice,80,c4,80.c4,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,black-topright#9,black,Naso lituratus,1,20,large crevice,80,c6,80.c6,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,black-topright#9,black,Naso lituratus,1,20,large crevice,80,d2,80.d2,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,black-topright#9,black,Naso lituratus,1,20,large crevice,80,d3,80.d3,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,black-topright#9,black,Ctenochaetus binotatus,1,5,large crevice,80,e3,80.e3,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,black-topright#9,black,Naso lituratus,1,20,large crevice,80,e3,80.e3,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,black-topright#9,black,Naso lituratus,1,20,large crevice,80,f2,80.f2,6,0:26:05,26.08,,
19.04.2018,LighthouseReef,black-topright#9,black,Naso lituratus,1,20,large crevice,80,f8,80.f8,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,black-topright#9,black,Naso lituratus,1,20,large crevice,80,g1,80.g1,3,0:26:05,26.08,,
19.04.2018,LighthouseReef,black-topright#9,black,Naso lituratus,1,20,large crevice,80,h2,80.h2,3,0:26:05,26.08,,
19.04.2018,LighthouseReef,black-topright#9,black,Naso lituratus,1,20,large crevice,80,i3,80.i3,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,nocolour-topleft#11,blank,Scarus niger,2,24,large crevice,74,b2,74.b2,1,0:21:56,21.93,,
19.04.2018,LighthouseReef,nocolour-topleft#11,blank,Scarus niger,1,24,large crevice,74,b4,74.b4,1,0:21:56,21.93,,
19.04.2018,LighthouseReef,nocolour-topleft#11,blank,Scarus niger,1,24,large crevice,74,b5,74.b5,1,0:21:56,21.93,,
19.04.2018,LighthouseReef,nocolour-topleft#11,blank,Scarus niger,1,24,large crevice,74,b8,74.b8,1,0:21:56,21.93,,
19.04.2018,LighthouseReef,nocolour-topleft#11,blank,Scarus niger,1,24,large crevice,74,c3,74.c3,1,0:21:56,21.93,,
19.04.2018,LighthouseReef,nocolour-topleft#11,blank,Scarus niger,2,24,large crevice,74,c6,74.c6,1,0:21:56,21.93,,
19.04.2018,LighthouseReef,nocolour-topleft#11,blank,Scarus niger,1,24,large crevice,74,d2,74.d2,2,0:21:56,21.93,,
19.04.2018,LighthouseReef,nocolour-topleft#11,blank,Scarus niger,2,24,large crevice,74,d3,74.d3,1,0:21:56,21.93,,
19.04.2018,LighthouseReef,nocolour-topleft#11,blank,Scarus niger,2,24,large crevice,74,d5,74.d5,1,0:21:56,21.93,,
19.04.2018,LighthouseReef,nocolour-topleft#11,blank,Scarus niger,1,24,large crevice,74,d8,74.d8,1,0:21:56,21.93,,
19.04.2018,LighthouseReef,nocolour-topleft#11,blank,Scarus niger,1,24,large crevice,74,e7,74.e7,1,0:21:56,21.93,,
19.04.2018,LighthouseReef,nocolour-topleft#11,blank,Scarus niger,1,24,large crevice,74,f4,74.f4,1,0:21:56,21.93,,
19.04.2018,LighthouseReef,nocolour-topleft#11,blank,Scarus niger,1,24,large crevice,74,g3,74.g3,2,0:21:56,21.93,,
19.04.2018,LighthouseReef,nocolour-topleft#11,blank,Scarus niger,1,24,large crevice,74,g7,74.g7,1,0:21:56,21.93,,
19.04.2018,LighthouseReef,nocolour-topleft#2,blank,Pomacentrus bankanensis,1,4,large crevice,74,g8,74.g8,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,nocolour-topleft#2,blank,NA,NA,NA,large crevice,74,g9,74.g9,0,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,b2,71.b2,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,b4,71.b4,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,b4,71.b4,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,6,18,large crevice,71,b6,71.b6,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,6,18,large crevice,71,b7,71.b7,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Acanthurus nigrofuscus,10,9,large crevice,71,b8,71.b8,3,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,6,18,large crevice,71,b8,71.b8,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Acanthurus nigrofuscus,1,9,large crevice,71,b9,71.b9,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,c2,71.c2,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,c3,71.c3,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,c4,71.c4,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,6,18,large crevice,71,c4,71.c4,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,c5,71.c5,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,c6,71.c6,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,c7,71.c7,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Acanthurus nigrofuscus,10,9,large crevice,71,c8,71.c8,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Acanthurus nigrofuscus,10,9,large crevice,71,c8,71.c8,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,6,18,large crevice,71,c8,71.c8,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,d2,71.d2,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,d2,71.d2,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,d3,71.d3,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,d4,71.d4,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,d4,71.d4,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,d7,71.d7,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,6,18,large crevice,71,d8,71.d8,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Acanthurus nigrofuscus,1,9,large crevice,71,d9,71.d9,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,e2,71.e2,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,e3,71.e3,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,e3,71.e3,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,e4,71.e4,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,e4,71.e4,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,e7,71.e7,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,e8,71.e8,3,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,6,18,large crevice,71,e8,71.e8,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,3,18,large crevice,71,f2,71.f2,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,f2,71.f2,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,f4,71.f4,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,f4,71.f4,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,f5,71.f5,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,f7,71.f7,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,3,18,large crevice,71,g2,71.g2,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,g7,71.g7,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Zebrasoma scopas,4,10,large crevice,71,g7,71.g7,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Zebrasoma scopas,1,10,large crevice,71,h4,71.h4,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,h6,71.h6,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Zebrasoma scopas,4,10,large crevice,71,h6,71.h6,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Acanthurus nigrofuscus,9,9,large crevice,71,h8,71.h8,4,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#1,red,Ctenochaetus striatus,4,17,large crevice,71,h8,71.h8,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,a4,71.a4,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,b4,71.b4,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,7,15,large crevice,71,b5,71.b5,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,b6,71.b6,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,7,15,large crevice,71,b6,71.b6,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,b7,71.b7,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,7,15,large crevice,71,b7,71.b7,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,7,15,large crevice,71,b8,71.b8,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,c3,71.c3,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,c4,71.c4,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,d2,71.d2,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,7,15,large crevice,71,d2,71.d2,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,d4,71.d4,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,d4,71.d4,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,7,15,large crevice,71,d6,71.d6,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,f4,71.f4,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,f6,71.f6,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,f8,71.f8,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,g4,71.g4,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,g7,71.g7,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,g2,71.g2,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,g3,71.g3,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,h4,71.h4,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,12,9,large crevice,71,b7,71.b7,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,13,8,large crevice,71,h8,71.h8,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,13,8,large crevice,71,h9,71.h9,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,13,8,large crevice,71,f8,71.f8,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,14,8,large crevice,71,b4,71.b4,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,14,8,large crevice,71,i8,71.i8,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,14,8,large crevice,71,i7,71.i7,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,14,8,large crevice,71,h6,71.h6,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,8,14,large crevice,71,g3,71.g3,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,b2,71.b2,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,c2,71.c2,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,15,10,large crevice,71,e6,71.e6,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,15,10,large crevice,71,b6,71.b6,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,15,10,large crevice,71,b7,71.b7,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,15,10,large crevice,71,b9,71.b9,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,15,10,large crevice,71,a4,71.a4,3,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,15,10,large crevice,71,e7,71.e7,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,15,10,large crevice,71,d7,71.d7,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,15,10,large crevice,71,d8,71.d8,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Acanthurus nigrofuscus,15,10,large crevice,71,b8,71.b8,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,9,13,large crevice,71,d4,71.d4,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,9,13,large crevice,71,b4,71.b4,2,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,9,13,large crevice,71,c7,71.c7,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,9,13,large crevice,71,c4,71.c4,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,f6,71.f6,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,e6,71.e6,1,0:26:05,26.08,,
19.04.2018,LighthouseReef,red-topleft#2,red,Ctenochaetus striatus,4,17,large crevice,71,b6,71.b6,1,0:26:05,26.08,,
