"","colour.in.videos","tile.number","Treatment","Crevice.kind","Location","number.LOB.before","number.otherMA.before","number.unknown.before","number.Lob.after","number.otherMA.after","number.unknown.after","number.LOB.removed","number.otherMA.removed","number.unknown.removed","Species","sumbites"
"167","red","71","accessible","large","a4",0,1,0,0,1,0,0,0,0,"Ctenochaetus striatus",1
"168","red","71","accessible","large","a5",0,0,0,0,0,0,0,0,0,NA,NA
"169","red","71","accessible","large","a6",1,0,0,0,0,0,1,0,0,"Zebrasoma scopas",2
"170","red","71","accessible","large","a7",0,0,0,0,0,0,0,0,0,"Acanthurus nigrofuscus",1
"171","red","71","accessible","large","a8",0,0,0,0,0,0,0,0,0,NA,NA
"172","red","71","accessible","large","a9",0,0,0,0,0,0,0,0,0,"Zebrasoma scopas",1
"173","red","71","accessible","large","b1",3,1,0,3,1,0,0,0,0,NA,NA
"174","red","71","accessible","large","b2",3,2,0,3,2,0,0,0,0,"Acanthurus nigrofuscus",2
"175","red","71","accessible","large","b2",3,2,0,3,2,0,0,0,0,"Ctenochaetus striatus",8
"176","red","71","accessible","large","b2",3,2,0,3,2,0,0,0,0,"Zebrasoma scopas",2
"177","red","71","accessible","large","b3",0,1,0,0,1,0,0,0,0,"Acanthurus nigrofuscus",1
"178","red","71","accessible","large","b3",0,1,0,0,1,0,0,0,0,"Ctenochaetus striatus",1
"179","red","71","accessible","large","b4",1,1,0,0,1,0,1,0,0,"Acanthurus nigrofuscus",3
"180","red","71","accessible","large","b4",1,1,0,0,1,0,1,0,0,"Ctenochaetus striatus",7
"181","red","71","accessible","large","b4",1,1,0,0,1,0,1,0,0,"Zebrasoma scopas",1
"182","red","71","accessible","large","b5",1,8,0,1,8,0,0,0,0,"Ctenochaetus striatus",1
"183","red","71","accessible","large","b6",2,2,0,1,0,0,1,2,0,"Acanthurus nigrofuscus",4
"184","red","71","accessible","large","b6",2,2,0,1,0,0,1,2,0,"Ctenochaetus striatus",6
"185","red","71","accessible","large","b6",2,2,0,1,0,0,1,2,0,"Zebrasoma scopas",5
"186","red","71","accessible","large","b7",0,7,0,0,7,0,0,0,0,"Acanthurus nigrofuscus",9
"187","red","71","accessible","large","b7",0,7,0,0,7,0,0,0,0,"Ctenochaetus striatus",7
